ps_auc_activations,ps_auc_gc,ps_auc_occ,ps_auc_rise,ps_auc_cbrise
0.22886175,0.39081743,0.31312513,0.30148664,0.23207018
0.9985426,0.99711496,0.984955,0.9950268,0.9887629
0.2906592,0.30836627,0.36626396,0.29708484,0.29917634
0.3606704,0.44357243,0.8074711,0.5113363,0.41560927
0.20874046,0.2891209,0.7767313,0.24438596,0.4175708
0.29922676,0.34322888,0.6253611,0.1545309,0.23509616
0.9811403,0.38047004,0.6421208,0.4190258,0.9926526
0.990183,0.9856911,0.843012,0.9916418,0.9930459
0.9921092,0.9808032,0.77757275,0.99135286,0.5210551
0.2867978,0.3649143,0.5512858,0.3867179,0.5717015
0.2934241,0.29408607,0.30266255,0.1714495,0.1951761
0.18448524,0.2317725,0.20046476,0.22673985,0.24198692
0.18677971,0.5519793,0.49270663,0.3890267,0.42197517
0.34672856,0.42034662,0.42524102,0.16272001,0.22904223
0.19444637,0.37107348,0.5490511,0.34756762,0.2638592
0.59289813,0.59947145,0.9838636,0.9988686,0.5682773
0.2922449,0.31213942,0.1708153,0.27004793,0.3522572
