ps_auc_activations,ps_auc_gc,ps_auc_occ,ps_auc_rise,ps_auc_cbrise
0.37927067,0.31970748,0.14420481,0.2419969,0.30595696
0.9958771,0.98584366,0.99265283,0.9925035,0.9805882
0.7025775,0.21746363,0.540935,0.34353787,0.3405042
0.998085,0.99492365,0.99652326,0.99838614,0.9963462
0.4086515,0.6518727,0.37722734,0.2894169,0.3443923
0.44459534,0.5839904,0.5223646,0.1946509,0.30106196
0.98698586,0.98039967,0.9923893,0.9859538,0.99103856
0.99269855,0.8486224,0.98483366,0.98363507,0.9857143
0.98243386,0.83300084,0.99023753,0.99990976,0.9953603
0.6224531,0.9939503,0.9816713,0.98547083,0.98271555
0.65641445,0.27467677,0.3147854,0.2723225,0.38284492
0.5721672,0.69565356,0.6397165,0.5,0.4061518
0.62742424,0.30294958,0.2699315,0.15821384,0.30253652
0.3024463,0.64454633,0.4963191,0.14891006,0.13203827
0.29837862,0.9804011,0.9857055,0.20292029,0.27862707
0.99316597,0.9811947,0.99523413,0.98255324,0.986426
0.4972879,0.11072035,0.10195019,0.19432853,0.26558986
