ps_auc_activations,ps_auc_gc,ps_auc_occ,ps_auc_rise,ps_auc_cbrise
0.2372704,0.39631924,0.3618159,0.58991826,0.55069566
0.8138844,0.8099139,0.7748407,0.8199519,0.82509464
0.35976312,0.35283977,0.44510975,0.3775479,0.33575454
0.7659871,0.7471122,0.6320901,0.7546372,0.83498424
0.7105538,0.76024294,0.53861326,0.72676116,0.7344962
0.67039293,0.6386899,0.42384914,0.6593424,0.65771353
0.859231,0.9153465,0.8418296,0.7896035,0.74051064
0.8269284,0.8188025,0.651775,0.8588786,0.8946139
0.7738193,0.8734716,0.8615856,0.8759839,0.8249927
0.65970886,0.60715055,0.47006458,0.62612754,0.45760703
0.5779046,0.8002169,0.54170936,0.55600053,0.669116
0.31577662,0.3514999,0.37119398,0.33787578,0.33793092
0.77798986,0.6271704,0.41469035,0.6750652,0.7485249
0.57436126,0.632951,0.5381564,0.54772216,0.5110437
0.8058099,0.8394413,0.73912174,0.78728,0.7912336
0.71398306,0.75617653,0.843439,0.75928694,0.8023966
0.3154568,0.3641512,0.25335208,0.24771899,0.39979544
